,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file
32,211.0,FHA,,,SURREY,4/19/2021,5/4/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/20/2021,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
33,212.0,FHA,,,LANGLEY,4/19/2021,4/29/2021,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
34,213.0,FHA,,,LANGLEY,4/19/2021,5/3/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/21/2021,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
35,214.0,FHA,,,BURNABY,4/19/2021,5/1/2021,,,Office,3,3,,No,No,Unknown,,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
36,215.0,FHA,,,LANGLEY,4/19/2021,5/10/2021,,,"FoodProcessing",7,7,,No,No,Unknown,,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
37,216.0,FHA,,,DELTA,4/19/2021,4/26/2021,,,"Farm/Agriculture",5,5,,No,No,Unknown,,No,,No,,No,16-2021,2,,F22-1445 Records_Part2.pdf
38,217.0,FHA,,,SURREY,4/19/2021,5/3/2021,,,Retail,5,5,Closed,Yes,Yes,Unknown,4/20/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
39,218.0,FHA,,,DELTA,4/19/2021,5/1/2021,,,Processing,3,3,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
40,219.0,FHA,,,SURREY,4/19/2021,4/29/2021,,,/Industry,5,5,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
41,220.0,FHA,,,MAPLE RIDGE,4/19/2021,5/5/2021,,,Retail,4,4,Closed,Yes,Yes,Unknown,4/21/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
42,221.0,FHA,,,COQUITLAM,4/19/2021,5/26/2021,,,Office,5,5,Closed,Yes,Yes,Unknown,4/20/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
43,222.0,FHA,,,DELTA,4/19/2021,5/17/2021,,,Retail,3,3,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
44,223.0,FHA,,,COQUITLAM,4/19/2021,4/30/2021,,,/Industry,5,5,Closed,Yes,Yes,Unknown,4/22/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
45,224.0,FHA,,,DELTA,4/19/2021,5/7/2021,,,Transportation,4,4,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
46,225.0,FHA,,,ABBOTSFORD,4/19/2021,5/16/2021,,,Retail,9,9,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
47,226.0,FHA,,,SURREY,4/19/2021,4/20/2021,,,Office,3,3,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
48,227.0,VCH,,,Richmond,4/19/2021,,4/19/2021,5/11/2021,Processing,,5,closed),No,No,No,,No,,Yes,,No,16-2021,3,,F22-1445 Records_Part2.pdf
49,228.0,FHA,,,BURNABY,4/20/2021,5/1/2021,,,tion,4,4,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
50,229.0,FHA,,,SURREY,4/20/2021,4/28/2021,,,Warehouse,3,3,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
51,230.0,FHA,,,BURNABY,4/20/2021,4/30/2021,,,tion,5,5,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
52,231.0,FHA,,,COQUITLAM,4/20/2021,5/6/2021,,,/Industry,7,7,Closed,Yes,Yes,Unknown,4/21/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
53,232.0,FHA,,,DELTA,4/20/2021,5/4/2021,,,Transportation,4,4,Closed,Yes,Yes,Unknown,4/21/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
54,233.0,FHA,,,SURREY,4/20/2021,5/3/2021,,,Personal Care,4,4,Closed,Yes,Yes,Unknown,4/21/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
55,234.0,FHA,,,ANGLEY,4/20/2021,5/9/2021,,,tion,35,35,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
56,235.0,FHA,,,SURREY,4/20/2021,4/27/2021,,,Gym/Fitness,11,11,Closed,Yes,Yes,Unknown,4/20/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
57,236.0,FHA,,,BURNABY,4/20/2021,5/4/2021,,,/Industry,5,5,,No,No,Unknown,,No,,No,,No,16-2021,3,,F22-1445 Records_Part2.pdf
58,237.0,FHA,,,DELTA,4/20/2021,4/30/2021,,,tion,3,3,Closed,Yes,No,Unknown,4/21/2021,Yes,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
59,238.0,FHA,,,ABBOTSFORD,4/20/2021,5/5/2021,,,Personal Care,4,4,Closed,Yes,Yes,Unknown,4/22/2021,No,,No,,No,16-2021,3,16-2021,F22-1445 Records_Part2.pdf
60,239.0,FHA,,,ABBOTSFORD,4/20/2021,4/29/2021,,,Office,4,4,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
61,240.0,FHA,,,LANGLEY,4/20/2021,4/20/2021,,,Personal Care,3,3,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
62,241.0,FHA,,,"PORTCOQUITLAM",4/20/2021,4/20/2021,,,Gym/Fitness,5,5,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
63,242.0,FHA,,,ABBOTSFORD,4/20/2021,5/2/2021,,,Office,3,3,Closed,Yes,No,Unknown,4/21/2021,Yes,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
64,243.0,VIHA,,,Duncan,4/20/2021,,4/15/2021,4/20/2021,Office,0,3,Open,No,No,No,,Unknown,,Yes,70,No,16-2021,4,,F22-1445 Records_Part2.pdf
65,244.0,VIHA,,,Nanaimo,4/20/2021,,4/9/2021,4/20/2021,"FoodProcessing",0,3,Open,No,No,No,,Unknown,,Yes,70,No,16-2021,4,,F22-1445 Records_Part2.pdf
66,245.0,NHA,,,Unknown,4/20/2021,4/26/2021,,,"Restaurant/Bar/Lounge",4,4,"Voluntaryclosure",Yes,No,Yes,,Unknown,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
67,246.0,FHA,,,SURREY,4/21/2021,5/13/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/22/2021,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
68,247.0,FHA,,,SURREY,4/21/2021,5/7/2021,,,Transportation,6,6,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
69,248.0,FHA,,,BURNABY,4/21/2021,5/1/2021,,,"Maintenance/Trades/Construction",3,3,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
70,249.0,FHA,,,CHILLIWACK,4/21/2021,5/18/2021,,,"FirstResponder",6,6,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
71,250.0,FHA,,,ABBOTSFORD,4/21/2021,,,,"Farm/Agriculture",3,3,,No,No,Unknown,,No,,No,,Yes,16-2021,4,,F22-1445 Records_Part2.pdf
72,251.0,VIHA,,,Victoria,4/21/2021,,4/20/2021,4/27/2021,Office,0,10,Closed,Yes,No,Yes,,Unknown,,No,63,No,16-2021,4,,F22-1445 Records_Part2.pdf
73,252.0,VIHA,,,Victoria,4/21/2021,,4/20/2021,4/21/2021,Other,0,3,Open,No,No,No,,Unknown,,Yes,69,No,16-2021,4,,F22-1445 Records_Part2.pdf
74,253.0,VIHA,,,Victoria,4/21/2021,,4/17/2021,4/26/2021,"Hospitality/Services",0,4,Open,No,No,No,,Unknown,,Yes,64,No,16-2021,4,,F22-1445 Records_Part2.pdf
75,254.0,VCH,,,Vancouver,4/21/2021,,4/21/2021,5/11/2021,Retail,,5,"Partiallyclosed orwidespreadisolation byPH",Yes,No,No,,Yes,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
76,255.0,FHA,,,SURREY,4/22/2021,5/5/2021,,,Office,4,4,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
77,256.0,FHA,,,MAPLE RIDGE,4/22/2021,5/14/2021,,,"Manufacturing/Industry",5,5,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
78,257.0,FHA,,,LANGLEY,4/22/2021,5/13/2021,,,"Manufacturing/Industry",19,19,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
79,258.0,FHA,,,ABBOTSFORD,4/22/2021,5/4/2021,,,Retail,3,3,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
80,259.0,FHA,,,BURNABY,4/22/2021,5/11/2021,,,Gym/Fitness,3,3,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
81,260.0,FHA,,,LANGLEY,4/22/2021,4/29/2021,,,Gym/Fitness,4,4,,No,No,Unknown,,No,,No,,No,16-2021,4,,F22-1445 Records_Part2.pdf
82,261.0,FHA,,,SURREY,4/22/2021,4/29/2021,,,"Maintenance/Trades/Construction",4,4,Closed,Yes,Yes,Unknown,4/24/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
83,262.0,FHA,,,ABBOTSFORD,4/22/2021,5/12/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
84,263.0,FHA,,,LANGLEY,4/22/2021,5/10/2021,,,Retail,6,6,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
85,264.0,FHA,,,SURREY,4/22/2021,5/4/2021,,,"Restaurant/Bar/Lounge",5,5,Closed,Yes,Yes,Unknown,4/22/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
86,265.0,FHA,,,SURREY,4/23/2021,5/3/2021,,,Gym/Fitness,5,5,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
87,266.0,FHA,,,LANGLEY,4/23/2021,5/8/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/24/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
88,267.0,FHA,,,SURREY,4/23/2021,5/11/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/24/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
89,268.0,FHA,,,MAPLE RIDGE,4/23/2021,5/1/2021,,,Office,5,5,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
90,269.0,FHA,,,ABBOTSFORD,4/23/2021,5/11/2021,,,Office,3,3,Closed,Yes,Yes,Unknown,4/25/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
91,270.0,FHA,,,SURREY,4/23/2021,6/9/2021,,,Retail,15,15,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
92,271.0,FHA,,,SURREY,4/23/2021,5/11/2021,,,Other,8,8,Closed,Yes,Yes,Unknown,4/26/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
93,272.0,FHA,,,LANGLEY,4/23/2021,4/27/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
94,273.0,FHA,,,SURREY,4/23/2021,5/26/2021,,,Gym/Fitness,8,8,Closed,Yes,Yes,Unknown,5/5/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
95,274.0,FHA,,,BURNABY,4/23/2021,5/6/2021,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,4/23/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
96,275.0,FHA,,,BURNABY,4/24/2021,5/12/2021,,,Transportation,5,5,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
97,276.0,FHA,,,SURREY,4/24/2021,5/19/2021,,,"Manufacturing/Industry",8,8,,No,No,Unknown,,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
98,277.0,FHA,,,LANGLEY,4/24/2021,5/4/2021,,,Retail,3,3,Closed,Yes,Yes,Unknown,4/25/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
99,278.0,FHA,,,SURREY,4/24/2021,5/4/2021,,,Retail,6,6,Closed,Yes,Yes,Unknown,4/25/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
100,279.0,FHA,,,MAPLE RIDGE,4/24/2021,5/6/2021,,,"Restaurant/Bar/Lounge",6,6,Closed,Yes,No,Unknown,4/24/2021,Yes,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
101,280.0,FHA,,,CHILLIWACK,4/24/2021,5/14/2021,,,Other,6,6,Closed,Yes,Yes,Unknown,4/24/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
102,281.0,VCH,,,Vancouver,4/24/2021,,4/24/2021,5/16/2021,"Maintenance/Trades/Construction",,4,"Voluntarilyclosed byoperator",Yes,No,Yes,4/29/2021,No,,No,,No,16-2021,5,,F22-1445 Records_Part2.pdf
103,282.0,FHA,,,ABBOTSFORD,4/25/2021,5/12/2021,,,Gym/Fitness,5,5,,No,No,Unknown,,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
104,283.0,FHA,,,"NEWWESTMINSTER",4/25/2021,5/8/2021,,,Warehouse,14,14,Closed,Yes,Yes,Unknown,4/26/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
105,284.0,VIHA,,,Victoria,4/25/2021,,4/21/2021,4/28/2021,"Restaurant/Bar/Lounge",0,7,Closed,Yes,No,Yes,,Unknown,,No,62,No,17-2021,6,,F22-1445 Records_Part2.pdf
106,285.0,VIHA,,,angford,4/25/2021,,4/18/2021,4/25/2021,Office,0,3,Closed,Yes,No,Yes,,Unknown,,No,65,No,17-2021,6,,F22-1445 Records_Part2.pdf
107,286.0,VCH,,,Vancouver,4/25/2021,,4/25/2021,5/26/2021,"School/Daycare",,8,"Partiallyclosed orwidespreadisolation byPH",Yes,No,No,,Yes,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
108,287.0,NHA,,,Unknown,4/25/2021,5/3/2021,,,"Restaurant/Bar/Lounge",2,6,"Voluntaryclosure",Yes,No,Yes,,Unknown,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
109,288.0,FHA,,,ANGLEY,4/26/2021,5/9/2021,,,"Farm/Agriculture",3,3,"Not closed:Insufficientevidence ofrecenttransmission",No,No,Unknown,,No,,Yes,,No,17-2021,6,,F22-1445 Records_Part2.pdf
110,289.0,FHA,,,DELTA,4/26/2021,5/11/2021,,,Office,4,4,Closed,Yes,Yes,Unknown,4/26/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
111,290.0,FHA,,,ABBOTSFORD,4/26/2021,5/8/2021,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
112,291.0,FHA,,,SURREY,4/26/2021,5/14/2021,,,Retail,14,14,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
113,292.0,FHA,,,ANGLEY,4/26/2021,5/6/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
114,293.0,FHA,,,BURNABY,4/26/2021,4/26/2021,,,"Manufacturing/Industry",4,4,"Not closed:Insufficientevidence ofrecenttransmission",No,No,Unknown,,No,,Yes,,No,17-2021,6,,F22-1445 Records_Part2.pdf
115,294.0,FHA,,,SURREY,4/26/2021,5/5/2021,,,Retail,3,3,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
116,295.0,FHA,,,CHILLIWACK,4/26/2021,5/5/2021,,,"Maintenance/Trades/Construction",3,3,"Not closed:Alternatecontrolmeasures",No,No,Unknown,,No,,Yes,,No,17-2021,6,,F22-1445 Records_Part2.pdf
117,296.0,FHA,,,ABBOTSFORD,4/26/2021,5/7/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,6,,F22-1445 Records_Part2.pdf
118,297.0,VIHA,,,Victoria,4/26/2021,,4/21/2021,4/26/2021,Office,0,3,Closed,Yes,No,Yes,,Unknown,,No,64,No,17-2021,6,,F22-1445 Records_Part2.pdf
119,298.0,VCH,,,Vancouver,4/26/2021,,4/26/2021,5/16/2021,Retail,,3,"Managedwithoutclosure (notclosed)",No,No,No,,No,,Yes,,No,17-2021,6,,F22-1445 Records_Part2.pdf
120,299.0,FHA,,,ANGLEY,4/27/2021,5/9/2021,,,Office,5,5,"Not closed:Alternatecontrolmeasures",No,No,Unknown,,No,,Yes,,No,17-2021,6,,F22-1445 Records_Part2.pdf
121,300.0,FHA,,,LANGLEY,4/27/2021,5/14/2021,,,Retail,11,11,Closed,Yes,Yes,Unknown,4/29/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
122,301.0,FHA,,,BURNABY,4/27/2021,5/4/2021,,,Retail,4,4,"Not closed:Insufficientevidence ofrecenttransmission",No,No,Unknown,,No,,Yes,,No,17-2021,7,,F22-1445 Records_Part2.pdf
123,302.0,FHA,,,SURREY,4/27/2021,5/6/2021,,,"Maintenance/Trades/Construction",6,6,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
124,303.0,FHA,,,CHILLIWACK,4/27/2021,5/5/2021,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,4/28/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
125,304.0,FHA,,,SURREY,4/27/2021,5/12/2021,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,4/28/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
126,305.0,FHA,,,CHILLIWACK,4/27/2021,5/22/2021,,,Retail,4,4,Closed,Yes,No,Unknown,4/27/2021,Yes,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
127,306.0,FHA,,,ABBOTSFORD,4/27/2021,5/17/2021,,,Warehouse,7,7,"Not closed:Alternatecontrolmeasures",No,No,Unknown,,No,,Yes,,No,17-2021,7,,F22-1445 Records_Part2.pdf
128,307.0,FHA,,,LANGLEY,4/27/2021,5/12/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/27/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
129,308.0,NHA,,,Unknown,4/27/2021,6/6/2021,,,"Manufacturing/Industry",,8,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
130,309.0,FHA,,,BURNABY,4/28/2021,5/25/2021,,,Office,4,4,Closed,Yes,Yes,Unknown,4/30/2021,No,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
131,310.0,FHA,,,"NEWWESTMINSTER",4/28/2021,5/22/2021,,,Retail,19,19,Closed,Yes,No,Unknown,5/9/2021,Yes,,No,,No,17-2021,7,,F22-1445 Records_Part2.pdf
132,311.0,FHA,,,MISSION,4/28/2021,5/11/2021,,,"Maintenance/Trades/Construction",5,5,"Not closed:Alternatecontrolmeasures",No,No,Unknown,,No,,Yes,,No,17-2021,7,,F22-1445 Records_Part2.pdf
133,312.0,FHA,,,BURNABY,4/28/2021,5/5/2021,,,"Hospitality/Services",4,4,"Not closed:Alternatecontrolmeasures",No,No,Unknown,,No,,Yes,,No,17-2021,7,,F22-1445 Records_Part2.pdf
